dataset,scale,method,full_history_rmse,normalized_rmse
letterboxd,1-10,zero,2.107998922566957,0.23422210250743966
letterboxd,1-10,critic_mean,1.6390191750307086,0.18211324167007872
letterboxd,1-10,topk_similar_mean,1.6224049818395863,0.18026722020439848
letterboxd,1-10,design1,1.5065881127779148,0.16739867919754609
letterboxd,1-10,design1_topk,1.5263689025840803,0.1695965447315645
letterboxd,1-10,design2,1.454567201165262,0.16161857790725132
letterboxd,1-10,design3,1.4676443094908656,0.16307158994342952
rotten_tomatoes,0-5,design1,0.796448114673392,0.1592896229346784
rotten_tomatoes,0-5,design1_topk,0.8081095791621825,0.1616219158324365
rotten_tomatoes,0-5,tomatometer_z,0.8295691836249893,0.16591383672499788
rotten_tomatoes,0-5,critic_mean,0.8257408117769199,0.165148162355384
rotten_tomatoes,0-5,topk_similar_mean,0.8446680507239058,0.16893361014478117
rotten_tomatoes,0-5,design1_z,0.9264156288509178,0.18528312577018355
rotten_tomatoes,0-5,design1_topk_z,0.816852119774896,0.1633704239549792
rotten_tomatoes,0-5,design2,0.770066499710083,0.1540132999420166
rotten_tomatoes,0-5,design2_z,0.7775956988334656,0.15551913976669313
rotten_tomatoes,0-5,design3,0.7759868502616882,0.15519737005233764
rotten_tomatoes,0-5,design3_z,0.7811838984489441,0.15623677968978883
