method,overall_rmse,full_history_rmse
zero,2.1036021607124145,2.1036021607124145
critic_mean,1.6538197970549893,1.6538197970549893
topk_similar_mean,1.674528981465461,1.6144073774576853
design1,1.587130320763968,1.5019888364606715
design1_topk,1.6377644315274769,1.5011737593812804
design2,1.528305233633706,1.4167045820924027
design3,1.5279248764382605,1.418365683785461
design1_z,1.8473951529223085,1.606834792547519
design1_topk_z,1.8018970384384518,1.5006852438779437
design2_z,1.6087525591553664,1.4115707751987385
design3_z,1.659124113979854,1.4058456703178699
