,3,5,10,20,50,all
zero,2.107998922566957,2.107998922566957,2.107998922566957,2.107998922566957,2.107998922566957,2.107998922566957
critic_mean,1.6390191750307086,1.6390191750307086,1.6390191750307086,1.6390191750307086,1.6390191750307086,1.6390191750307086
topk_similar_mean,1.7051944218924664,1.6856943611035717,1.670458704119751,1.6528570954354171,1.6571818821918807,1.6224049818395863
design1,1.764702892071474,1.6701636474221464,1.5967089978318496,1.5612679121801583,1.5445496125095115,1.5065881127779148
design1_topk,1.8358935393729763,1.7378151748759783,1.6494456931452541,1.5917167951593403,1.573414644312809,1.5263689025840803
design2,1.6263806566689005,1.5949536021430202,1.565729837864012,1.5345217724889977,1.5025767393358453,1.454567201165262
design3,1.6421841507664745,1.6097674704164737,1.5808669070054402,1.538024388413783,1.5148734934056698,1.4676443094908656
design1_z,2.152864865354497,1.99586902606086,1.855918957715944,1.7879976828239632,1.760521793255262,1.640292830037236
design1_topk_z,2.1692648337556366,1.9786795844618135,1.8048543064782168,1.712657633239285,1.672012085652753,1.5276916507839964
design2_z,1.8780806626507809,1.748484728877181,1.6403092688786638,1.5708069719713063,1.5228909905385357,1.4549602013505796
design3_z,2.0322473222835327,1.8269852282968293,1.6686037246149157,1.5991328175213324,1.566456928349113,1.4635106535588587
