k_neighbors,similar_seen,n_episodes,rmse
10,0,5236,5.255312274463318
10,1,698,4.89223855724273
10,2,56,4.138782211056863
10,3,6,0.6215108833841565
10,4,1,0.0005722881300267778
10,5+,3,2.1565548072475718
20,0,4652,5.338701315711323
20,1,1166,4.559743447375829
20,2,157,5.784096691718731
20,3,18,2.6978865150216604
20,4,4,3.896168597639059
20,5+,3,2.1565548072475718
30,0,4152,5.39090206541828
30,1,1494,4.58430000437004
30,2,309,5.633856726462851
30,3,33,2.5926583185270378
30,4,7,4.214543328549482
30,5+,5,3.8645233566830464
