method,overall_rmse,full_history_rmse
design1,0.8730640293759309,0.8008941053521257
design1_topk,0.894442897971453,0.811423490166239
tomatometer_z,0.8530433038937686,0.8530433038937685
critic_mean,0.8426522458190975,0.8426522458190975
topk_similar_mean,0.887881734730082,0.8581468957249185
design1_z,1.020422922916511,0.9475139853647631
design1_topk_z,0.9453750766869942,0.8438500533498012
design2,0.8067786693572998,0.7826513648033142
design2_z,0.8538036346435547,0.7923951148986816
design3,0.809148371219635,0.789440393447876
design3_z,0.8734267354011536,0.792778730392456
