n,method,label,rmse,rmse_std_draws,n_pred_per_draw,fallback_rate
-1,design1,Design 1 (movie mean + magnitude),0.7964481146733919,0.0,2408,0.0029069767441860465
-1,design1_z,"Design 1, z-score track (converted back to raw)",0.9264156288457005,3.109105611245578e-06,2408,
-1,tomatometer_z,B2: Tomatometer->score (reviewer fallback),0.8295691836249893,0.0,2408,
-1,critic_mean,B3: mean of all reviewers,0.8257408117769197,1.1102230246251565e-16,2408,
-1,topk_similar_mean,B4: mean of top-10 similar,0.8446680507239058,0.0,2408,
-1,zero,B1: global mean score,1.0494145915813329,0.0,2408,
3,design1,Design 1 (movie mean + magnitude),0.9643950607861879,0.0018689381611534486,2408,0.19144518272425248
3,design1_z,"Design 1, z-score track (converted back to raw)",1.1300977137583548,0.008524494143305254,2129,
3,tomatometer_z,B2: Tomatometer->score (reviewer fallback),0.8295691836249893,0.0,2408,
3,critic_mean,B3: mean of all reviewers,0.8257408117769197,1.1102230246251565e-16,2408,
3,topk_similar_mean,B4: mean of top-10 similar,0.9078413768565278,0.004320168761583829,2408,
3,zero,B1: global mean score,1.0494145915813329,0.0,2408,
5,design1,Design 1 (movie mean + magnitude),0.9218345925355216,0.0032629317423161874,2408,0.06256921373200443
5,design1_z,"Design 1, z-score track (converted back to raw)",1.0632058713423482,0.001038030666310204,2357,
5,tomatometer_z,B2: Tomatometer->score (reviewer fallback),0.8295691836249893,0.0,2408,
5,critic_mean,B3: mean of all reviewers,0.8257408117769197,1.1102230246251565e-16,2408,
5,topk_similar_mean,B4: mean of top-10 similar,0.8963568601864574,0.004410211372845594,2408,
5,zero,B1: global mean score,1.0494145915813329,0.0,2408,
10,design1,Design 1 (movie mean + magnitude),0.8638576076171168,0.005491179062721946,2408,0.020625692137320045
10,design1_z,"Design 1, z-score track (converted back to raw)",1.0052758762989338,0.004913029030829211,2404,
10,tomatometer_z,B2: Tomatometer->score (reviewer fallback),0.8295691836249893,0.0,2408,
10,critic_mean,B3: mean of all reviewers,0.8257408117769197,1.1102230246251565e-16,2408,
10,topk_similar_mean,B4: mean of top-10 similar,0.8808258816837543,0.0023148010020135825,2408,
10,zero,B1: global mean score,1.0494145915813329,0.0,2408,
20,design1,Design 1 (movie mean + magnitude),0.8331585963421381,0.005306837263894655,2408,0.009413067552602437
20,design1_z,"Design 1, z-score track (converted back to raw)",0.9720627823591702,0.007189209859840184,2407,
20,tomatometer_z,B2: Tomatometer->score (reviewer fallback),0.8295691836249893,0.0,2408,
20,critic_mean,B3: mean of all reviewers,0.8257408117769197,1.1102230246251565e-16,2408,
20,topk_similar_mean,B4: mean of top-10 similar,0.864872092039764,0.005771132363005681,2408,
20,zero,B1: global mean score,1.0494145915813329,0.0,2408,
50,design1,Design 1 (movie mean + magnitude),0.8114015797154716,0.0034538012115809076,2408,0.0035991140642303433
50,design1_z,"Design 1, z-score track (converted back to raw)",0.948472805708818,0.0036922968491940288,2408,
50,tomatometer_z,B2: Tomatometer->score (reviewer fallback),0.8295691836249893,0.0,2408,
50,critic_mean,B3: mean of all reviewers,0.8257408117769197,1.1102230246251565e-16,2408,
50,topk_similar_mean,B4: mean of top-10 similar,0.8556194633605948,0.0025637905758260204,2408,
50,zero,B1: global mean score,1.0494145915813329,0.0,2408,
