n,stratum,n_pred,n_movies,disp_range,rmse_design1,rmse_tomatometer_z,rmse_critic_mean,rmse_topk_similar_mean,gain_vs_tm_pct,rmse_design2,gain_design2_vs_tm_pct,rmse_design3,gain_design3_vs_tm_pct
-1,low,2421,712,0.00–0.75,0.6574691961709015,0.7173448110568073,0.688573479871131,0.6953901987260109,8.346838781435629,0.6441478133201599,10.203879167789898,0.6369715332984924,11.20427394461908
-1,mid,2451,711,0.75–0.87,0.7683268039219271,0.8310010638667908,0.8092391070279141,0.8309891997220497,7.542019218751617,0.7629700899124146,8.186628984301958,0.7696362137794495,7.384449040510265
-1,high,2352,712,0.87–1.74,0.9539337683422408,0.992832503553005,1.0052023197524202,1.0220011435387255,3.917955452864319,0.9206830859184265,7.26702816198912,0.9376862049102783,5.55444130257391
3,low,2421,712,0.00–0.75,0.8415508081445392,0.7173448110568073,0.688573479871131,0.7464694726232562,-17.314685374910432,0.6788850426673889,5.361406090434895,0.6845555901527405,4.570914907122702
3,mid,2451,711,0.75–0.87,0.936540807288642,0.8310010638667908,0.8092391070279141,0.8793835013550921,-12.700313875743618,0.8068150281906128,2.910469881185984,0.8102386593818665,2.498481095597316
3,high,2352,712,0.87–1.74,1.1201748365836528,0.992832503553005,1.0052023197524202,1.0957543300699424,-12.826164793651863,0.9801320433616638,1.279214786571814,0.9746106266975403,1.8353424963682086
5,low,2421,712,0.00–0.75,0.7974482780170067,0.7173448110568073,0.688573479871131,0.7439257393114342,-11.16666151696133,0.6713017821311951,6.418535161323691,0.672879695892334,6.198569290403921
5,mid,2451,711,0.75–0.87,0.8789526942416297,0.8310010638667908,0.8092391070279141,0.8651815134940812,-5.770345245012276,0.7976844906806946,4.009209450475137,0.8027350902557373,3.4014365131528335
5,high,2352,712,0.87–1.74,1.0769074231027829,0.992832503553005,1.0052023197524202,1.0819549263137072,-8.468187659942906,0.9718722105026245,2.111161044322263,0.9694909453392029,2.351006653213983
10,low,2421,712,0.00–0.75,0.7313783951337322,0.7173448110568073,0.688573479871131,0.7206870201107557,-1.956323355326206,0.6642276048660278,7.40469651024952,0.6650196313858032,7.294285657955413
10,mid,2451,711,0.75–0.87,0.8321785733102762,0.8310010638667908,0.8092391070279141,0.8593639673452106,-0.14169770589778086,0.7894882559776306,4.995518019675449,0.7947148680686951,4.366564301283793
10,high,2352,712,0.87–1.74,1.0370877271119343,0.992832503553005,1.0052023197524202,1.0700147206977666,-4.457471265349899,0.9585330486297607,3.4547070931399193,0.9619287848472595,3.1126820078061224
20,low,2421,712,0.00–0.75,0.6979772325885264,0.7173448110568073,0.688573479871131,0.7174687872751455,2.6998980364475123,0.6586780548095703,8.178320292135089,0.6582061648368835,8.244103157698934
20,mid,2451,711,0.75–0.87,0.8081787171406006,0.8310010638667908,0.8092391070279141,0.8427022170721125,2.7463679312266898,0.7822194695472717,5.870220441419171,0.7845948338508606,5.584376727509122
20,high,2352,712,0.87–1.74,1.0020622954897813,0.992832503553005,1.0052023197524202,1.05293316631714,-0.9296424022930516,0.9481215476989746,4.503373498956298,0.950639009475708,4.24980990512509
50,low,2421,712,0.00–0.75,0.667281292708652,0.7173448110568073,0.688573479871131,0.7090065180470992,6.979003343510726,0.6481163501739502,9.650653328190694,0.6466141939163208,9.860058377823167
50,mid,2451,711,0.75–0.87,0.7841447080280476,0.8310010638667908,0.8092391070279141,0.8472474628621052,5.638543423845044,0.7715244889259338,7.157220071909687,0.773094117641449,6.968335991760455
50,high,2352,712,0.87–1.74,0.9625750868437412,0.992832503553005,1.0052023197524202,1.0355571540552961,3.0475852272143555,0.9375220537185669,5.570974926435335,0.9391648769378662,5.4055066109420125
