n,stratum,n_pred,n_movies,disp_range,rmse_design1,rmse_tomatometer_z,rmse_critic_mean,rmse_topk_similar_mean,gain_vs_tm_pct,rmse_design2,gain_design2_vs_tm_pct,rmse_design3,gain_design3_vs_tm_pct
-1,low,2238,678,0.00–0.75,0.6881708611140164,0.7250683077738395,0.6811098470360472,0.7059813026316661,5.088823530724773,0.6708112955093384,7.483020797183249,0.6692590713500977,7.697100511135513
-1,mid,2391,678,0.75–0.87,0.7904850856443525,0.8288672048996858,0.8080491423872176,0.8274648010176759,4.630671720203782,0.7766843438148499,6.295684130867674,0.7839464545249939,5.419535253554697
-1,high,2283,678,0.87–1.44,0.9409008936277695,0.9528114986726237,0.9640889815793656,0.9881004558792111,1.2500484158143643,0.9059668779373169,4.916462574241265,0.9068875312805176,4.81983765478099
3,low,2238,678,0.00–0.75,0.8626424939324262,0.7250683077738395,0.6811098470360472,0.738304090273625,-18.97396213344058,0.6972999572753906,3.829756479593671,0.7032648921012878,3.0070843586439633
3,mid,2391,678,0.75–0.87,0.9172829992184904,0.8288672048996858,0.8080491423872176,0.8691783258263447,-10.667063891073504,0.7974627614021301,3.7888389493412777,0.801620364189148,3.28723835971233
3,high,2283,678,0.87–1.44,1.078015101508167,0.9528114986726237,0.9640889815793656,1.0385213165573348,-13.140437852604236,0.9327964186668396,2.1006337595282365,0.9373836517333984,1.6191919346815187
5,low,2238,678,0.00–0.75,0.8336180252967846,0.7250683077738395,0.6811098470360472,0.7419201060254673,-14.970964302139045,0.6911646127700806,4.675931169554581,0.6972708702087402,3.83376811082049
5,mid,2391,678,0.75–0.87,0.8764151241954721,0.8288672048996858,0.8080491423872176,0.8561040599033013,-5.736494219425747,0.7934373617172241,4.274489685805527,0.7956717014312744,4.004924223347562
5,high,2283,678,0.87–1.44,1.0520601658955577,0.9528114986726237,0.9640889815793656,1.048972091473921,-10.416401078408356,0.9297525882720947,2.4200915325489625,0.9349686503410339,1.8726524980488768
10,low,2238,678,0.00–0.75,0.7618539546085776,0.7250683077738395,0.6811098470360472,0.7315773020820138,-5.073404317957331,0.6846738457679749,5.5711250337070695,0.6900935173034668,4.823654557148549
10,mid,2391,678,0.75–0.87,0.8345240631357405,0.8288672048996858,0.8080491423872176,0.8505032521951378,-0.6824806437768727,0.7892394065856934,4.78095864810919,0.7902820706367493,4.655164788140742
10,high,2283,678,0.87–1.44,0.9942895584141761,0.9528114986726237,0.9640889815793656,1.0224737414046925,-4.3532282932496225,0.9217514991760254,3.259826265727117,0.9276362657546997,2.6422049852458773
20,low,2238,678,0.00–0.75,0.7320196449814358,0.7250683077738395,0.6811098470360472,0.7239278638728469,-0.9587148042560001,0.6816917657852173,5.982407660569278,0.6845828890800476,5.583669601846664
20,mid,2391,678,0.75–0.87,0.8116983270259129,0.8288672048996858,0.8080491423872176,0.8435036280657593,2.0713665316087315,0.7841336727142334,5.396948017851222,0.7852256894111633,5.2651999295597935
20,high,2283,678,0.87–1.44,0.9637669896363976,0.9528114986726237,0.9640889815793656,1.0025480713655828,-1.1498067539105206,0.9170691967010498,3.7512458677678717,0.9223546385765076,3.1965252453970194
50,low,2238,678,0.00–0.75,0.7073285814252688,0.7250683077738395,0.6811098470360472,0.7213361843787126,2.446628291207009,0.6745074987411499,6.973247691369277,0.6748546957969666,6.9253629538770785
50,mid,2391,678,0.75–0.87,0.7916440869767508,0.8288672048996858,0.8080491423872176,0.8367570325243856,4.4908421642089085,0.7814769148826599,5.717476784807928,0.7837823629379272,5.439332343618897
50,high,2283,678,0.87–1.44,0.9553037225996555,0.9528114986726237,0.9640889815793656,0.9949011436856715,-0.26156526558545057,0.9122065901756287,4.2615888403490505,0.915285050868988,3.9384965290526375
